LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
13,2024-01-26 16:01:40,0.0,1020.38,22.42,48.14,450.42,0.01
13,2024-01-26 16:02:40,0.0,1020.41,22.46,48.03,455.83,0.01
13,2024-01-26 16:03:40,0.0,1020.37,22.47,47.96,456.67,0.01
13,2024-01-26 16:04:40,0.0,1020.36,22.48,47.9,453.33,0.01
13,2024-01-26 16:05:40,0.0,1020.37,22.49,47.87,453.33,0.01
13,2024-01-26 16:06:40,0.0,1020.34,22.49,47.83,455.83,0.01
13,2024-01-30 17:23:47,0.0,1016.01,23.41,52.46,330.0,0.02
13,2024-01-30 17:33:12,0.0,1015.94,22.99,53.62,184.58,0.02
13,2024-01-30 17:34:12,0.0,1015.98,22.97,54.03,185.83,0.02
13,2024-01-30 17:35:12,0.0,1015.97,22.94,53.91,183.33,0.02
13,2024-01-30 17:36:12,0.0,1015.97,22.91,53.91,185.83,0.05
13,2024-01-30 17:37:12,0.0,1015.99,22.9,53.97,183.33,0.02
13,2024-01-30 17:38:12,0.0,1016.0,22.88,54.32,185.0,0.02
13,2024-01-30 17:39:12,0.0,1016.03,22.88,54.02,185.83,0.04
13,2024-01-30 17:40:13,0.0,1016.07,22.87,54.18,185.83,0.03
13,2024-01-30 17:41:13,0.0,1016.05,22.87,53.96,185.83,0.01
13,2024-01-30 17:42:12,0.0,1016.06,22.86,54.0,185.83,0.03
13,2024-01-30 17:43:12,0.0,1016.05,22.85,53.97,185.0,0.02
13,2024-01-30 17:44:12,0.0,1016.05,22.85,53.98,185.0,0.01
13,2024-01-30 17:45:12,0.0,1016.02,22.84,53.94,185.83,0.02
13,2024-01-30 17:46:12,0.0,1016.01,22.83,54.01,185.83,0.02
13,2024-01-30 17:47:12,0.0,1016.02,22.82,53.99,185.83,0.02
13,2024-01-30 17:48:12,0.0,1016.1,22.82,53.99,185.83,0.03
13,2024-01-30 17:49:57,0.0,1016.08,22.79,54.31,185.42,0.04
13,2024-01-30 17:50:57,0.0,1016.03,22.79,54.13,186.67,0.02
13,2024-01-30 17:51:57,0.0,1016.06,22.79,54.11,185.83,0.04
13,2024-01-30 17:52:57,0.0,1016.09,22.79,54.11,185.83,0.03
13,2024-01-30 17:53:57,0.0,1016.09,22.77,54.23,185.83,0.04
13,2024-01-30 17:54:57,0.0,1016.1,22.78,54.19,185.83,0.02
13,2024-01-30 17:55:57,0.0,1016.11,22.78,54.15,184.17,0.02
13,2024-02-01 16:00:18,1.22,1012.11,26.16,62.6,5532.5,6.53
13,2024-02-01 16:01:18,0.87,1012.11,26.07,62.85,5500.83,6.74
13,2024-02-01 16:02:18,1.05,1012.12,26.04,62.61,5331.67,6.28
13,2024-02-01 16:03:18,2.7,1012.16,25.92,62.98,5164.17,5.86
13,2024-02-01 16:04:18,1.05,1012.14,25.88,63.32,5032.5,5.71
13,2024-02-01 16:05:18,0.96,1012.14,25.89,63.51,4950.83,5.64
13,2024-02-01 16:06:18,1.39,1012.14,25.89,63.41,4877.5,5.27
13,2024-02-01 16:07:18,2.87,1012.15,25.83,63.58,4828.33,5.23
13,2024-02-01 16:08:18,0.96,1012.15,25.79,63.92,4757.5,4.93
13,2024-02-01 16:09:18,0.0,1012.19,25.8,64.01,4663.33,5.06
13,2024-02-01 16:10:18,0.87,1012.21,25.78,64.03,4612.5,4.8
13,2024-02-01 16:11:18,1.74,1012.16,25.8,63.96,4689.17,4.88
