LocationCode,date,start_time,end_time
1,2024-01-01,2024-01-01 06:31:08,2024-01-01 17:27:06
1,2024-01-02,2024-01-02 06:22:05,2024-01-02 17:33:04
1,2024-01-03,2024-01-03 06:22:03,2024-01-03 17:26:26
1,2024-01-04,2024-01-04 06:24:25,2024-01-04 17:33:24
1,2024-01-05,2024-01-05 06:21:12,2024-01-05 17:36:11
1,2024-01-06,2024-01-06 06:21:10,2024-01-06 08:59:10
1,2024-01-07,2024-01-07 06:32:08,2024-01-07 17:30:07
1,2024-01-08,2024-01-08 06:23:06,2024-01-08 17:38:05
1,2024-01-09,2024-01-09 06:21:03,2024-01-09 17:31:55
1,2024-01-10,2024-01-10 06:26:54,2024-01-10 17:33:53
1,2024-01-11,2024-01-11 06:27:52,2024-01-11 08:59:27
1,2024-01-12,2024-01-12 06:25:25,2024-01-12 17:39:19
1,2024-01-13,2024-01-13 06:24:17,2024-01-13 17:38:17
1,2024-01-14,2024-01-14 06:25:15,2024-01-14 15:53:15
1,2024-01-15,2024-01-15 14:06:47,2024-01-15 17:39:47
1,2024-01-16,2024-01-16 06:28:46,2024-01-16 17:41:45
1,2024-01-17,2024-01-17 06:26:43,2024-01-17 08:59:42
1,2024-01-18,2024-01-18 06:23:48,2024-01-18 17:43:47
1,2024-01-19,2024-01-19 06:24:46,2024-01-19 08:59:46
1,2024-01-20,2024-01-20 06:22:44,2024-01-20 17:40:01
1,2024-01-21,2024-01-21 06:28:59,2024-01-21 17:37:59
1,2024-01-22,2024-01-22 06:26:57,2024-01-22 17:41:55
1,2024-01-23,2024-01-23 06:26:53,2024-01-23 17:38:52
1,2024-01-24,2024-01-24 06:29:50,2024-01-24 17:42:50
1,2024-01-25,2024-01-25 06:28:49,2024-01-25 17:44:47
1,2024-01-26,2024-01-26 06:28:46,2024-01-26 17:43:13
1,2024-01-27,2024-01-27 06:28:11,2024-01-27 17:43:10
1,2024-01-28,2024-01-28 06:29:09,2024-01-28 17:46:08
1,2024-01-29,2024-01-29 06:27:07,2024-01-29 17:51:05
1,2024-01-30,2024-01-30 06:20:05,2024-01-30 17:54:45
1,2024-01-31,2024-01-31 06:21:44,2024-01-31 17:53:42
1,2024-02-01,2024-02-01 06:19:41,2024-02-01 17:52:40
1,2024-02-02,2024-02-02 06:23:39,2024-02-02 17:51:29
1,2024-02-03,2024-02-03 06:22:28,2024-02-03 17:54:27
1,2024-02-04,2024-02-04 06:22:25,2024-02-04 17:53:25
1,2024-02-05,2024-02-05 06:31:23,2024-02-05 17:55:12
1,2024-02-06,2024-02-06 06:23:11,2024-02-06 17:54:10
1,2024-02-07,2024-02-07 06:19:09,2024-02-07 16:20:23
1,2024-02-08,2024-02-08 12:56:23,2024-02-08 17:53:23
1,2024-02-09,2024-02-09 06:20:21,2024-02-09 17:56:21
1,2024-02-10,2024-02-10 06:25:19,2024-02-10 17:53:48
1,2024-02-11,2024-02-11 06:15:47,2024-02-11 18:01:45
1,2024-02-12,2024-02-12 06:15:44,2024-02-12 17:56:19
1,2024-02-13,2024-02-13 06:13:18,2024-02-13 08:59:18
1,2024-02-14,2024-02-14 06:13:16,2024-02-14 18:05:15
1,2024-02-15,2024-02-15 06:12:14,2024-02-15 18:01:16
1,2024-02-16,2024-02-16 06:19:15,2024-02-16 17:57:14
1,2024-02-17,2024-02-17 06:12:13,2024-02-17 18:01:11
1,2024-02-18,2024-02-18 06:13:10,2024-02-18 18:05:09
1,2024-02-19,2024-02-19 06:11:35,2024-02-19 18:04:48
1,2024-02-20,2024-02-20 11:47:43,2024-02-20 18:04:42
1,2024-02-21,2024-02-21 06:08:39,2024-02-21 18:04:38
1,2024-02-22,2024-02-22 06:08:38,2024-02-22 18:02:38
1,2024-02-23,2024-02-23 06:11:37,2024-02-23 18:04:00
1,2024-02-24,2024-02-24 06:12:59,2024-02-24 08:59:59
1,2024-02-25,2024-02-25 06:12:58,2024-02-25 18:02:58
1,2024-02-26,2024-02-26 06:11:57,2024-02-26 08:59:57
1,2024-02-27,2024-02-27 06:08:57,2024-02-27 18:05:56
1,2024-02-28,2024-02-28 06:02:56,2024-02-28 18:05:55
1,2024-02-29,2024-02-29 07:26:55,2024-02-29 18:06:06
1,2024-03-01,2024-03-01 06:08:06,2024-03-01 18:07:05
1,2024-03-02,2024-03-02 06:27:05,2024-03-02 18:06:48
1,2024-03-03,2024-03-03 06:04:47,2024-03-03 18:09:46
1,2024-03-04,2024-03-04 09:53:46,2024-03-04 18:12:46
1,2024-03-05,2024-03-05 06:00:46,2024-03-05 18:11:45
1,2024-03-06,2024-03-06 05:57:45,2024-03-06 18:08:38
1,2024-03-07,2024-03-07 06:10:38,2024-03-07 12:45:37
1,2024-03-08,2024-03-08 12:42:06,2024-03-08 12:43:06
1,2024-03-12,2024-03-12 11:26:07,2024-03-12 18:14:07
1,2024-03-15,2024-03-15 17:03:07,2024-03-15 17:35:04
1,2024-03-16,2024-03-16 05:46:07,2024-03-16 18:16:23
1,2024-03-17,2024-03-17 05:45:25,2024-03-17 17:58:28
1,2024-03-18,2024-03-18 17:04:53,2024-03-18 18:13:54
1,2024-03-19,2024-03-19 05:51:00,2024-03-19 16:28:18
1,2024-03-23,2024-03-23 14:24:59,2024-03-23 18:15:59
1,2024-03-25,2024-03-25 12:04:59,2024-03-25 18:15:58
1,2024-03-26,2024-03-26 05:36:58,2024-03-26 18:11:58
1,2024-03-27,2024-03-27 05:40:58,2024-03-27 08:59:58
1,2024-03-28,2024-03-28 05:34:47,2024-03-28 18:20:46
1,2024-03-29,2024-03-29 05:38:46,2024-03-29 08:59:46
1,2024-03-30,2024-03-30 05:41:46,2024-03-30 18:22:45
1,2024-03-31,2024-03-31 05:33:45,2024-03-31 18:09:44
1,2024-04-01,2024-04-01 05:56:44,2024-04-01 18:16:44
1,2024-04-02,2024-04-02 05:30:44,2024-04-02 18:23:43
1,2024-04-03,2024-04-03 05:29:43,2024-04-03 08:11:43
1,2024-04-18,2024-04-18 05:18:46,2024-04-18 18:20:46
1,2024-04-19,2024-04-19 05:19:46,2024-04-19 18:25:45
1,2024-04-20,2024-04-20 05:14:45,2024-04-20 18:28:44
1,2024-04-21,2024-04-21 05:14:44,2024-04-21 18:30:22
1,2024-04-22,2024-04-22 05:13:21,2024-04-22 18:31:22
1,2024-04-23,2024-04-23 05:15:21,2024-04-23 17:51:38
1,2024-04-24,2024-04-24 05:21:37,2024-04-24 11:05:37
1,2024-04-25,2024-04-25 10:21:36,2024-04-25 18:23:37
